name,url,type,seal_brewer_member,ba_associate_member,ab_inbev,state
The Beer'd Brewing Company,www.beerdbrewing.com,Micro,Y,,,CT
(405) Brewing Co,www.405brewing.com,Micro,Y,,,OK
(512) Brewing Co,www.512brewing.com,Micro,Y,,,TX
???? Prodigy Brewing Company,www.prodigybrewingcompany.com,Contract,,,,CA
10 Barrel Brewing Co,www.10barrel.com,Large,,Y,25,OR
10 Barrel Brewing Co,www.10barrel.com,Large,,Y,25,ID
10 Barrel Brewing Co,10barrel.com,Large,,Y,25,CA
10 Barrel Brewing Co,,Large,,Y,25,OR
10 Barrel Brewing Co - Bend Pub,,Large,,Y,25,OR
10 Barrel Brewing Co - Denver,,Large,,Y,25,CO
10 Torr Distilling and Brewing,www.10torr.com,Micro,Y,,,NV
101 Brewery,www.101brewery.com,Brewpub,,,,WA
101 North Brewing Company,www.101northbeer.com,Micro,Y,,,CA
105 West Brewing Co,www.105westbrewing.com,Micro,Y,,,CO
10-56 Brewing Company,,Micro,,,,IN
10K Brewing,10KBrew.com,Micro,Y,,,MN
10th District Brewing Company,www.10thdistrictbrewing.com,Micro,,,,MA
11 Below Brewing Company,www.11belowbrewing.com,Micro,Y,,,TX
1188 Brewing Co,www.1188brewing.com,Brewpub,Y,,,OR
12 Gates Brewing Company,www.12gatesbrewing.com,Brewpub,Y,,,NY
12 West Brewing Company,www.12westbrewing.com,Micro,Y,,,AZ
12 West Brewing Company - Production Facility,,Micro,Y,,,AZ
127 Brewing,,Micro,Y,,,MI
12Degree Brewing,www.12degree.com,Brewpub,Y,,,CO
12welve Eyes Brewing,www.12welveEyes.com,Micro,Y,,,MN
13 Below Brewery,www.13belowbrewery.com,Micro,Y,,,OH
13 Point Brewing,www.13pointbrewing.com,Planning,,Y,,CA
13 Stripes Brewery,www.13StripesBrewery.com,Brewpub,Y,,,SC
13 Virtues Brewing Co,www.13virtuesbrewing.com,Brewpub,Y,,,OR
1323 R & D,www.1323rnd.com,Micro,Y,,,NC
13th Child Brewery,,Micro,,,,NJ
14 Cannons Brewing Company,14cannons.com,Micro,Y,,,CA
14 Lakes Brewery,,Micro,,,,MN
1487 Brewery,,Micro,Y,,,OH
14er Brewing Company,www.14erBrewing.com,Proprietor,Y,,,CO
14th Star Brewing,www.14thstarbrewing.com,Micro,Y,,,VT
16 Lots Brewing,www.16lots.com,Brewpub,,,,OH
16 Mile Brewing Co,www.16milebrewery.com,Micro,,,,DE
16 Stone Brewpub,www.16stonebrewpub.com,Brewpub,,,,NY
"1623 Brewing CO, llc",,Contract,,Y,,MD
1718 Ocracoke Brewing,www.ocracokebrewing.com,Brewpub,,,,NC
1766 Brewing Company,,Micro,,,,NH
1781 Brewing Company,,Micro,Y,,,VA
17th State Brewing Company,www.17statebrewco.com,Contract,,,,OH
180 and Tapped,www.180andtapped.com,Micro,,,,PA
1817 Brewery,,Micro,Y,,,MS
1840 Brewing Company,www.1840brewing.com,Micro,Y,,,WI
1850 Brewing Company,www.1850restaurant.com,Micro,,,,CA
18th Street Brewery,,Micro,,,,IN
18th Street Brewery,www.18thstreetbrewery.com,Micro,,,,IN
1905 Brewing Company,1905BrewingCompany.com,Micro,Y,,,IL
1912 Brewing,www.1912brewing.com,Micro,Y,,,AZ
192 Brewing,www.192brewing.com,Micro,,,,WA
1940's Brewing Company,www.1940sbrewingcompany.com,Micro,Y,,,NY
1st Republic Brewing Co,www.1strepublic-homebrew.com,Micro,,,,VT
2 Basset Brewery,www.2bassetbrewery.com,Micro,,,,MT
2 Dogz and A Guy Brewing,2dogzandaguybrewing.com,Micro,,,,PA
2 Feet Brewing Company,www.2feetbrewing.com,Brewpub,,,,ME
2 Row Brewing,www.2rowbrewing.com,Micro,Y,,,UT
2 Silos Brewing Company,www.2silosbrewing.com,Micro,Y,,,VA
2 Tones Brewing Co.,www.2tonesbrewingco.com,Micro,Y,,,OH
2 Tread Brewing Co,www.2treadbrewing.com,Brewpub,Y,,,CA
2 Way Brewing Company,www.2waybrewingcompany.com,Brewpub,,,,NY
2 Witches Winery and Brewing Company,www.2witcheswinebrew.com,Micro,,,,VA
20 Corners Brewing LLC,www.20cornersbrewing.com,Brewpub,Y,,,WA
210 Brewing Co,www.angelofthewind.com,Brewpub,,,,WA
212 Brewing Company,,Contract,,,,NY
217 Brew Works,,Micro,Y,,,NC
21st Amendment Brewery,www.21st-Amendment.com,Regional,Y,,,CA
21st Amendment Brewery Cafe,www.21st-amendment.com,Brewpub,Y,,,CA
23 Brewing Company / Lizzie B's Cafe,www.23brewingcompany.com,Brewpub,,,,KY
238 Brewing Company,www.238brewing.com,Micro,,,,WA
23rd Street Brewery,www.brew23.com,Brewpub,Y,,,KS
25 O'Clock Brewing Company,www.25oclock.net,Micro,,,,IL
26 Degree Brewing Company,,Micro,Y,,,FL
28th State Brewing,,Planning,,Y,,TX
2C Family Brewing Co.,,Planning,,Y,,ID
2Kids Brewing Company,www.2kidsBrewing.com,Micro,Y,,,CA
2nd Act Beer,www.2ndact.beer,Contract,,,,NJ
2nd Bridge Brewing Company,www.2ndbridgebrewing.com,Micro,,,,CT
2nd Shift Brewing Co,www.2ndshiftbrewing.com,Brewpub,Y,,,MO
2nd Story Brewing Company,,Brewpub,Y,,,PA
2SP Brewing Company,www.2spbrewing.com,Micro,Y,,,PA
2Toms Brewing Company,www.2tomsbrewing.com,Brewpub,Y,,,IN
3 Beards Beer Company,www.3beardsbeer.com,Contract,,,,MA
3 Daughters Brewing,www.3dbrewing.com,Micro,Y,,,FL
3 Disciples Brewing,www.3disciplesbrewing.com/home,Micro,Y,,,CA
3 Freaks Brewing Co,www.3freaksbrewery.com,Micro,Y,,,CO
3 Iron Brewing Company,www.3ironbrewingco.com,Micro,Y,,,CA
"3 Keys Brewing Company, LLC",www.3keysbrewing.com,Brewpub,Y,,,FL
3 Nations Brewing,www.threenationsbrewing.com,Micro,Y,,,TX
3 Sheeps Brewing Co,www.3sheepsbrewing.com,Micro,Y,,,WI
3 Sheets Brewery,www.3sheetsbrewery.com,Micro,Y,,,OR
3 Sons Brewing Co.,www.3sonsbrewingco.com,Proprietor,Y,,,FL
3 Stars Brewing Co,www.3starsbrewing.com,Micro,Y,,,DC
30 Mile Brewing Co.,www.30milebrewingco.com,Micro,,,,CT
300 Suns Brewing Company,www.300sunsbrewing.com,Brewpub,Y,,,CO
32 North Brewing Co,,Micro,,,,CA
34 Degree North Experiment Station,,Micro,Y,,,NC
350 Brewing Co,www.350brewing.com,Brewpub,Y,,,IL
38 State Brewing,www.38statebrew.com,Micro,Y,,,CO
38°-75° Brewing,,Brewpub,,,,DE
380 Brewing Company,,Planning,,Y,,MT
3cross Fermentation Cooperative,www.3cross.coop,Micro,Y,,,MA
3rd Act Brewery LLC,,Planning,,Y,,
3rd Degree Brewhouse,www.facebook.com/3rddegreebrewhouse/,Micro,,,,NC
3rd Planet Brewing,www.facebook.com/3rdplanetbrewing/,Micro,Y,,,FL
3rd Rock Brewing Company,www.3rockbrew.com,Micro,,,,NC
3rd Turn Brewing,www.3rdturnbrewing.com,Micro,Y,,,KY
3rd Wave Brewing Co,www.3rdwavebrewingco.com,Micro,Y,,,DE
4 By 4 Brewing Company,www.4by4brewingcompany.com,Micro,Y,,,MO
4 Hands Brewing Co,,Regional,Y,,,MO
4 Noses Brewing Company,4nosesbrewing.com,Micro,Y,,,CO
400 North Brewing,400northbrewing.com,Planning,,Y,,GA
406 Brewing Company,www.406brewingcompany.com,Micro,Y,,,MT
411 Broadway Ales,,Planning,,Y,,CA
412 Brews,www.412brews.com,Brewpub,,,,PA
42 North Brewing Company,www.42northbrewing.com,Brewpub,Y,,,NY
4204 Main Street Brewing Co,,Brewpub,Y,,,IL
450 North Brewing Company @ Simmons Winery,www.450northbrewing.com,Brewpub,Y,,,IN
47 Hills Brewing Co,47hillsbrewingcompany.com,Brewpub,,,,CA
49th State Brewing Co,,Brewpub,Y,,,AK
49th State Brewing Co - Anchorage,www.49statebrewing.com/,Brewpub,Y,,,AK
4B's Brewery,www.4bsbrewery.com,Brewpub,,,,CO
4kd Crick Brewery,Www.4kdcrickbrewery.com,Brewpub,Y,,,OH
4th Tap Brewing Cooperative,,Micro,Y,,,TX
5 Alarm Brewing Co,,Micro,,,,IA
5 Arch Brewing,,Planning,,Y,,
5 Lakes Brewing Co.,www.5lakesbrewing.com,Brewpub,Y,,,MI
5 Rabbit Cerveceria Inc,,Planning,,Y,,IL
5 Rabbit Cerveceria Inc,www.5rabbitbrewery.com,Micro,Y,,,IL
5 Rights Brewing Co,www.5rightsbrewing.com,Micro,Y,,,WA
5 Rivers Brewing LLC,5riversbrewing.com,Planning,,Y,,AL
5 Seasons Brewing Co - Prado,www.5seasonsbrewing.com,Brewpub,,,,GA
5 Seasons Brewing Co - Westside,www.5seasonsbrewing.com,Brewpub,,,,GA
5 Stones Artisan Brewery,,Micro,Y,,,TX
515 Brewing Co,www.515brewing.com,Micro,Y,,,IA
5150 Brewing At The Brass Tap Rocklin,www.brasstaprocklin.com,Micro,Y,,,CA
5168 Brewing Company,,Brewpub,Y,,,NE
51st State Brewing Company,www.51ststatebrewingcompany.com,Brewpub,Y,,,MI
51st Ward Beer Company,,Contract,,,,IL
54-40 Brewing Company,www.54-40brewing.com,Brewpub,Y,,,WA
550 Brewing,Www.550brew.com,Proprietor,,,,NM
559 Local Brewing,www.fresnobrewingcompany.com,Micro,,,,CA
56 Brewing,www.56brewing.com,Micro,Y,,,MN
5770 Brewery,www.5770brewery.com,Micro,Y,,,IL
5th Element Brewing,,Planning,,Y,,TX
5x5 Brewing Co.,www.5x5brewing.com,Micro,Y,,,TX
6 & 40 Brewery/Taproom,www.tomsbrewshop.com,Planning,,Y,,CO
"6 Bears & A Goat Brewing Company, LLC",www.6bgbrewingco.com,Brewpub,Y,,,VA
6 Bridges Brewing,www.sixbridgesbrewing.com,Planning,,Y,,GA
6 Degrees of Separation,www.6degreesbp.com,Brewpub,,,,NY
603 Brewery,www.603brewery.com,Micro,Y,,,NH
608 Brewing Company,www.608brewingcompany.com,Planning,,Y,,WI
612 Brew,www.612brew.com,Micro,Y,,,MN
6A Brewing Company,www.6abrewing.com,Micro,,,,MA
6th and La Brea,www.6thlabrea.com,Brewpub,Y,,,CA
7 Devils Brewing Co,www.7devilsbrewery.com,Brewpub,Y,,,OR
7 Hermits Brewing Company,www.7hermitsbrewing.com,Brewpub,,,,CO
7 Hills Brewing Company,www.7hillsbrew.com,Brewpub,,,,IA
7 Locks Brewing,www.7locksbrewing.com,Micro,Y,,,MD
7 Mile Brewery,www.7milebrew.com,Micro,Y,,,NJ
7 Pour 0 Brewery,www.7pour0brewery.com,Micro,,,,OH
7 Seas Brewing Co,www.7seasbrewing.com,Micro,Y,,,WA
7 Sins Brewery,www.7sinsbrewery.com,Micro,,,,NY
7 Sisters Brewing Co,www.7sistersbrewing.com,Brewpub,,,,CA
"718BrewCafe, LLP",www.718BrewCafe.com,Brewpub,,,,IL
734 Brewing Company,,Micro,,,,MI
7th Settlement Brewery,www.7thsettlement.com,Brewpub,Y,,,NH
7th Wave Brewing,www.7thwavebrewing.com,Micro,Y,,,MA
7venth Sun Brewery,www.7venthsun.com,Micro,Y,,,FL
7venth Sun Tampa,,Micro,Y,,,FL
8 Bit Brewing Company,www.8bitbrewerycompany.com,Brewpub,,,,CA
81Bay Brewing Company,81baybrewco.com,Micro,Y,,,FL
841 Brewhouse,,Brewpub,,,,WI
8-Bit Aleworks,www.8-bitaleworks.com,Micro,Y,,,AZ
8one8 Brewing Company,www.818brewing.com,Micro,,,,CA
8th Street Ale Haus,www.sheboyganalehaus.com,Brewpub,Y,,,WI
8th Ward Brewing Company,,Planning,,Y,,NY
8th Wonder Brewery,www.8thwonderbrew.com,Micro,Y,,,TX
903 Brewers,www.903brewers.com,Micro,Y,,,TX
927 Beer Company,www.cambriabeerco.com,Micro,Y,,,CA
"940 South 3rd Street, LLC",,Planning,,Y,,
95ate5 Brewpub,www.95ate5.com,Brewpub,,,,IN
9th Hour Brewing Company LLC,,Planning,,Y,,IL
A Few Old Goats Brewing,,Micro,,,,VA
A Homestead Brew,www.ahomesteadbrew.com,Micro,,,,SD
A Little Madness Brewing Company,www.ALittleMadnessBrewingCompany.com,Planning,,Y,,FL
Aardwolf Brewing Company,www.aardwolfbrewing.com,Micro,Y,,,FL
Abandon Brewing,www.abandonbrewing.com,Micro,Y,,,NY
Abandoned Building Brewery,www.abandonedbuildingbrewery.com,Micro,,,,MA
Abbey Brewing Co,,Contract,,,,FL
"Abbey Brewing Company, LLC",www.abbeybrewing.biz,Micro,Y,,,NM
Aberrant Ales,www.aberrantales.com,Brewpub,Y,,,MI
Abide Brewing Company,www.abidebrewing.com,Micro,Y,,,GA
Abigaile,abigailrestaurant.com,Brewpub,,,,CA
Abita Brewing Co,www.abita.com,Regional,Y,,,LA
Abjuration Brewing,www.abjurationbrewing.com,Micro,,,,PA
Able Baker Brewing,www.ablebakerbrewing.com,Micro,Y,,,NV
Able Ebenezer Brewing Company,www.ableebenezer.com,Micro,,,,NH
Able Seedhouse and Brewery,www.ablebeer.com,Micro,Y,,,MN
Abner's Restaurant Inc / Northern Michigan Beer,,Brewpub,,,,MI
Abnormal Beer Company,,Micro,Y,,,CA
Abolitionist Ale Works,www.abolitionistaleworks.com,Brewpub,,,,WV
Abridged Beer Company,www.abridgedbeer.com,Brewpub,Y,,,TN
Absolution Brewing Co,www.absolutionbrewingcompany.com,Micro,Y,,,CA
Absolution By the Sea,,Brewpub,Y,,,CA
Accomplice Beer Company,www.accomplicebeer.com,Brewpub,Y,,,WY
Acidulous Brewing Company,,Contract,,,,CO
Acopon Brewing Co,www.acoponbrewing.com,Micro,Y,,,TX
Acoustic Ales Brewing Experiment,www.acousticales.com,Planning,,Y,,CA
"Actual Brewing Company, LLC",wwww.actualbeer.com,Micro,,,,OH
Adam's Northwest Bistro / Twin Rivers Brewing,www.adamsnwbistro.com,Brewpub,,,,WA
Adams Street Brewery,www.adamsstreetbrewery.com,Planning,,Y,,IL
Adelbert's Brewery LLC,www.adelbertsbeer.com,Micro,Y,,,TX
Adirondack Pub and Brewery,www.adkpub.com,Micro,Y,,,NY
Adirondack Toboggan Company Microbrewery,www.adktoboggan.net,Micro,,,,NY
AdMerk Corp. Inc.,www.paugustin.com,Contract,,,,DC
Adobe Creek Brewing Company,www.adobecreekbrewing.com,Micro,Y,,,CA
Adroit Theory Brewing Company,www.adroit-theory.com,Micro,,,,VA
Adventure Brewing Co,www.adventurebrewing.com,Micro,,,,VA
Adventure South,www.adventurebrewing.com,Brewpub,,,,VA
Adventurous Brewing,,Micro,,,,IA
Aero Craft Brewing,www.aerocraft.beer,Planning,,Y,,CO
Aero Plains Brewing,www.aeroplainsbrewing.com,Micro,Y,,,KS
Aeronaut Brewing Company,www.aeronautbrewing.com,Micro,Y,,,MA
Aftershock Brewing Co,www.aftershockbrewingco.com,Micro,,,,CA
Afterthought Brewing Company,afterthoughtbrewing.com,Micro,Y,,,IL
Against the Grain Brewery,atgbrewery.com,Micro,Y,,,KY
Against the Grain Production Facility,,Micro,Y,,,KY
Agile Brewing,www.agile.beer,Planning,,Y,,
Agonic Brewing Company LLC,www.agonicbrewing.com,Planning,,Y,,WI
"Agrarian Ales, LLC",www.agales.com,Micro,Y,,,OR
Ahnapee Brewery,www.ahnapeebrewery.com,Micro,Y,,,WI
Aigean Ales,,Micro,,,,NH
Aiken Brewing Co,www.aikenbrewingcompany.com,Brewpub,,,,SC
Airline Brewing Company,www.abcmaine.beer,Micro,Y,,,ME
Airways Brewing Co,www.airwaysbrewing.com,Micro,Y,,,WA
Aistear Brewing,,Planning,,Y,,OH
Akademia Brewing Company,www.AkademiaBC.com,Brewpub,Y,,,GA
Akasha Brewing Company,www.akashabrewing.com,Micro,,,,KY
Akronym Brewing LLC,www.akronymbrewing.com,Micro,Y,,,OH
Akwesasne Mohawk Casino Resort,mohawkcasino.com,Planning,,Y,,NY
"Alafia Brewing Company, LLC",,Planning,,Y,,
Alameda Brewing Co,www.alamedabrewing.com,Micro,Y,,,OR
Alameda Brewing Co,,Micro,Y,,,OR
Alameda Island Brewing Company,www.alamedaislandbrewingcompany.com,Micro,Y,,,CA
Alamo Beer Co,www.alamobeer.com,Micro,Y,,,TX
Alarmist Brewing Co,alarmistbrewing.com,Micro,Y,,,IL
Alaro Craft Brewery,www.alarobrewing.com,Brewpub,Y,,,CA
Alaskan Brewing Co.,www.alaskanbeer.com,Regional,Y,,,AK
Albia Brewing Co,www.albiabrewingcompany.blogspot.com,Brewpub,,,,IA
Albion Malleable Brewing Company,www.albionmalleable.com,Brewpub,Y,,,MI
Albright Grove Brewing Company,,Planning,,Y,,TN
Alcatraz Brewing,www.alcatraz.beer,Micro,Y,,,FL
"Alcazar Brewery, LLC.",,Planning,,Y,,TX
Alchemist Cannery,www.alchemistbeer.com,Regional,Y,,,VT
Aldus Brewing Company,www.aldusbrewing.com,Micro,Y,,,PA
Ale Asylum,www.aleasylum.com,Regional,Y,,,WI
Ale House Brewing Co,,Micro,,,,CA
Ale Industries,www.aleindustries.com,Micro,,,,CA
Ale Republic,www.alerepublic.com,Micro,,,,NM
Ale Spike,www.alespike.com,Micro,Y,,,WA
Aleman Brewing,www.alemanchicago.com,Micro,,,,IL
Alematic Artisan Ales,www.alematicbrewing.com,Planning,,Y,,OH
Alesatian Brewing Co.,www.alesatianbrewing.com,Brewpub,Y,,,VA
AleSmith Brewing Co,www.alesmith.com,Regional,Y,,,CA
Alesong Brewing and Blending,www.alesongbrewing.com,Micro,Y,,,OR
Alesong Brewing and Tasting Room,www.alesongbrewing.com,Micro,Y,,,OR
Alewerks Brewing Company,www.alewerks.com,Micro,Y,,,VA
Alewife Brewing Company,www.alewife.beer,Brewpub,,,,NY
Alexandria Brewing Company,www.alexandriabrewingcompany.com,Micro,Y,,,KY
Alibi Ale Works,www.alibialeworks.com,Micro,Y,,,NV
Alibi Ale Works - Truckee,,Brewpub,Y,,,CA
Alien Brewpub,www.abqbrewpub.com,Brewpub,Y,,,NM
Align Brewing Co,www.facebook.com/alignbrewing,Micro,,,,CA
All City Brew Co.,www.allcitybrewco.com,Planning,,Y,,
All Good Brewing Co.,,Planning,,Y,,
All Rise Brewing Co,www.allrisebrewing.com,Brewpub,Y,,,IL
All Saints Brewing Co,www.allsaintscraftbrewing.com,Micro,Y,,,PA
Allagash Brewing Co,www.allagash.com,Regional,Y,,,ME
All-American Ale Works,www.all-americanaleworks.com,Micro,Y,,,CA
Allegheny City Brewing,www.alleghenycitybrewing.com,Micro,Y,,,PA
Allegory Brewing,www.allegorybrewing.com,Micro,Y,,,OR
Allentown Brew Works,www.thebrewworks.com,Brewpub,,,,PA
Alliance Brewing Company,www.alliancebrewing.com,Micro,Y,,,TN
Alligator Brewing / Tall Paul's Brewhouse,,Micro,,,,FL
Alloy Brewing Company,www.alloybrewingcompany.com,Micro,Y,,,MN
Alltech's Lexington Brewing,www.Kentuckyale.com,Regional,,,,KY
Alluvial Brewing Company,www.alluvialbrewing.com,Micro,Y,,,IA
Alma Brewing Co,www.almabrewing.com,Brewpub,Y,,,MI
Almanac Beer Company,almanacbeer.com,Micro,Y,,,CA
Aloha Beer Co,www.alohabeer.com,Brewpub,,,,HI
Alosta Brewing Co,www.alostabrewing.com,Micro,Y,,,CA
Alpenglow Beer Co,www.buckwildbrew.com,Contract,,Y,,CA
Alpha Acid Brewing Co,,Micro,Y,,,CA
Alpha Brewing Co.,www.alphabrewingcompany.com,Micro,Y,,,MO
Alphabet City Brewing Co,www.acbnyc.com,Contract,,,,NY
Alpine Beer Company,www.alpinebrewing.com,Brewpub,Y,,,CA
Alpine Brewing Co,www.alpine-brewing.com,Micro,Y,,,WA
Alpine Dog Brewing Co,www.alpinedogbrewery.com,Micro,Y,,,CO
ALT Brew / Greenview Brewing LLC,www.altbrew.com,Brewpub,Y,,,WI
Alta Brewing Company,www.altabrewing.com,Micro,,,,CA
Altamont Beer Works,www.altamontbeerworks.com,Micro,Y,,,CA
Alter Brewing Company,www.alterbrewing.com,Micro,Y,,,IL
Altered Code Brewing,www.alteredcodebrewing.com,Planning,,Y,,CO
Alternation Brewing Company,www.alternationbrewing.com,Micro,Y,,,CO
Alternative Medicine Brewing Company,,Planning,,Y,,
Altitude Brews,,Planning,,Y,,
Altitude Chophouse and Brewery,www.altitudechophouse.com,Brewpub,Y,,,WY
Altmeyer and Lewis Brewing Company,www.altmeyerlewisbrewing.com,Micro,Y,,,TX
Altruist Brewing Company,www.altruistbrewing.com,Brewpub,Y,,,MA
Altstadt Brewery,www.altstadtbeer.com,Micro,Y,,,TX
Alvarado Street Brewery,,Micro,Y,,,CA
Alvarado Street Brewery & Grill,,Brewpub,Y,,,CA
Alvarium Beer Company,www.alvariumbeer.com,Micro,Y,,,CT
Amador Brewing Company,www.amadorbrewing.com,Micro,Y,,,CA
Amalgam Brewing,www.amalgambrewing.com,Proprietor,,,,CO
Ambacht Brewing,www.ambacht.us,Micro,,,,OR
Amber Lantern Brewing Company,www.amberlanternbrewingcompany.com,Brewpub,,,,NY
Ambitious Ales,www.ambitiousales.com,Planning,,Y,,CA
Ambler Beer Company,,Planning,,Y,,
Amelia Island Brewing Company,www.theameliatavern.com,Brewpub,Y,,,FL
American Badass Beer,www.americanbadassbeer.com,Contract,,,,MI
American Brewers Inc,www.americanbrewers.us,Micro,,,,MI
American Brewing Company,www.americanbrewing.com,Brewpub,,,,WA
American Harvest Brewpub At Schoolcraft College,www.schoolcraft.edu,Brewpub,Y,,,MI
American Honor Beer Co,www.BoondoggleBeer.com,Contract,,,,PA
American Icon Brewery,www.americaniconbrewery.com,Brewpub,Y,,,FL
American Solera,www.americansolera.com,Micro,,,,OK
Americana Brewery,,Planning,,Y,,FL
Amerisports Brew Pub,www.ameristar.com,Brewpub,,,,MO
Amherst Brewing Co / Hangar Pub and Grill,www.amherstbrewing.com,Brewpub,Y,,,MA
Ammo Brewing,www.ammobrewing.com,Micro,,,,VA
Amorys Tomb Brewing Co,amorystomb.com,Micro,Y,,,MA
Amplified Ale Works,www.amplifiedales.com,Brewpub,Y,,,CA
Amplified Ale Works Miramar Studio,,Brewpub,Y,,,CA
Anacapa Brewing Co,www.anacapabrewing.com,Brewpub,,,,CA
Anacortes Brewery/Rockfish Grill,www.anacortesrockfish.com,Brewpub,Y,,,WA
Anaheim Brewery,www.anaheimbrew.com,Micro,Y,,,CA
Anawan Brewing Company,www.anawanbrewingco.com,Planning,,Y,,MA
Ancestry Brewery,www.ancestrybrewing.com,Brewpub,Y,,,OR
Anchor Brewing Co,www.anchorbrewing.com,Large,,,,CA
Anchorage Brewing Co,www.anchoragebrewingcompany.com,Micro,,,,AK
Ancient City Brewing Co.,www.ancientcitybrewing.com,Micro,Y,,,FL
Andean Brewing,,Micro,Y,,,NY
Anderson Valley Brewing Co,www.avbc.com,Regional,Y,,,CA
Andrews Brewing Co,,Micro,,,,ME
Andrews Brewing Co At Calaboose Cellars,www.calaboosecellars.com,Micro,,,,NC
Angel City Brewery,www.angelcitybrewery.com,Micro,Y,,,CA
"Angry Chair Brewing, LLC.",www.angrychairbrewing.com,Micro,Y,,,FL
Angry Erik Brewing,www.angryerik.com,Micro,Y,,,NJ
Angry Fish Brewing Company,angryfishbewingco.com,Micro,Y,,,SC
Angry Hank's Microbrewery,,Micro,Y,,,MT
Angry Horse Brewing,angryhorsebrewing.com,Micro,Y,,,CA
Angry Inch Brewing,www.angryinchbrewing.com,Micro,Y,,,MN
Angry James Brewing Co,www.angryjamesbrewing.com,Micro,Y,,,CO
"Angry Minnow, The",www.angryminnow.com,Brewpub,Y,,,WI
Angry Scotsman Brewing,www.angryscotbrew.com,Contract,,Y,,OK
Angry Troll Brewing / 222 Public House,www.angrytrollbrewing.com,Brewpub,,,,NC
Anheuser-Busch InBev,www.anheuser-busch.com,Large,,Y,,MO
Anheuser-Busch Inc – Baldwinsville,,Large,,Y,25,NY
Anheuser-Busch Inc – Cartersville,,Large,,Y,25,GA
Anheuser-Busch Inc – Columbus,,Large,,Y,25,OH
Anheuser-Busch Inc – Fairfield,,Large,,Y,25,CA
Anheuser-Busch Inc - Fort Collins,,Large,,Y,25,CO
Anheuser-Busch Inc – Houston,,Large,,Y,25,TX
Anheuser-Busch Inc – Jacksonville,,Large,,Y,25,FL
Anheuser-Busch Inc - Los Angeles,,Large,,Y,25,CA
Anheuser-Busch Inc – Merrimack,,Large,,Y,25,NH
Anheuser-Busch Inc – Newark,www.anheuser-busch.com,Large,,Y,25,NJ
Anheuser-Busch Inc – Williamsburg,www.anheuser-busch.com,Large,,Y,25,VA
Animas Brewing Co,www.animasbrewing.com,Brewpub,Y,,,CO
Animated Brewing Co.,www.animatedbrewing.com,Planning,,Y,,
Ankrolab Brewing Company,ankrolab.com,Planning,,Y,,FL
Anthem Brewing Co,www.anthembrewing.com,Micro,Y,,,OK
"Anti-Establishment Brewing Company, LLC",www.aebrewing.com,Planning,,Y,,
"Antietam Brewery,LLC",www.antietambrewery.com,Micro,Y,,,MD
Antiques On High,www.antiquesonhigh.com,Planning,,Y,,OH
Anvil Brewing,www.anvilbrewingtx.com,Brewpub,,,,TX
Apex Brew And BBQ Supplies,www.apexbrewwares.com,Planning,,Y,,MO
Apex Brewery,www.apexbeer.co,Planning,,Y,,NY
Apocalypse Ale Works,www.apocalypsebrewworks.com,Micro,Y,,,VA
Apocalypse Brew Works,www.apocalypsebrewworks.com,Micro,Y,,,KY
Apostrophe Brewing,,Planning,,Y,,
Appalachian Brewing Co - Collegeville,www.abcbrew.com,Brewpub,,,,PA
Appalachian Brewing Co - Gettysburg Gateway,www.abcbrew.com,Brewpub,,,,PA
Appalachian Brewing Co - Harrisburg,www.abcbrew.com,Brewpub,,,,PA
Appalachian Brewing Co - Lititz,www.abcbrew.com,Brewpub,,,,PA
Appalachian Brewing Co - Mechanicsburg,www.abcbrew.com,Brewpub,,,,PA
Appalachian Mountain Brewery - Boone,www.appalachianmountainbrewery.com,Micro,Y,,,NC
Appalachian Mountain Brewery - Portsmouth,,Micro,Y,,,NH
Apple Blossom Brewing Co,www.appleblossombrewing.com,Brewpub,Y,,,AR
Appleton Beer Factory,www.appletonbeerfactory.com,Brewpub,,,,WI
Apponaug Brewing,www.apponaugbrewing.com,Planning,,Y,,RI
Aquabrew,www.aqua-brew.com,Brewpub,Y,,,TX
Aquatic Brewing LLC,www.aquaticbrewing.com,Planning,,Y,,MA
Aqueduct Brewing,www.aqueductbrewing.shutterfly.com,Micro,,,,OH
Arbeiter Brewing Company,www.arbeiterbrewing.com,Planning,,Y,,MN
Arbor Brewing Co,www.arborbrewing.com,Brewpub,,,,MI
Arbor Brewing Co. Microbrewery,,Micro,,,,MI
Arcadia Brewing Co,www.arcadiaales.com,Micro,,,,MI
Arcadian Moon,www.arcadianmoon.com,Brewpub,,,,MO
Arcana Brewing Company,www.arcanabrewing.com,Micro,Y,,,CA
Arch Rock Brewing Co,www.archrockbrewingcompany.com,Micro,Y,,,OR
Archaic Craft Brewery At Centro,,Brewpub,,,,CA
Arches Brewing,,Micro,Y,,,GA
Archetype Brewing,www.archetypebrewing.com,Micro,Y,,,NC
Architecture Renewal,,Planning,,Y,,
Arclight Brewing Company,www.arclightbrewing.com,Micro,,,,MI
Arcpoint Brewing Co,www.arcpointbrewco.com,Micro,Y,,,MA
Ardent Craft Ales,www.ardentcraftales.com,Micro,Y,,,VA
"Ardent Spirits, Inc",Ardentspirits.com,Planning,,Y,,IL
Argilla Brewing Co @ Pietro's Pizza,www.argillabrewing.com,Brewpub,,,,DE
Argus Brewery,www.argusbrewery.com,Micro,Y,,,IL
Argyle Brewing Company,www.argylebrewing.com,Micro,Y,,,NY
